"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-01","0.00",,,"63","72","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-02","0.00",,,"64","77","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-03","0.00",,,"63","75","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-04","0.00",,,"65","76","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-05","0.00",,,"64","72","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-06","0.00",,,"62","71","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-07","0.00",,,"63","77","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-08","0.00",,,"65","75","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-09","0.00",,,"65","78","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-10","0.00",,,"65","79","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-11","0.00",,,"64","72","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-12","0.00",,,"62","69","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-13","0.00",,,"63","69","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-14","0.00",,,"63","74","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-15","0.00",,,"62","69","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-16","0.00",,,"62","72","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-17","0.00",,,"62","68","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-18","0.00",,,"62","72","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-19","0.00",,,"62","76","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-20","0.00",,,"69","88","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-21","0.00",,,"70","81","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-22","0.00",,,"62","73","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-23","0.00",,,"62","76","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-24","0.00",,,"63","83","51"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-25","0.00",,,"62","76","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-26","0.00",,,"62","81","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-27","0.00",,,"61","70","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-28","0.00",,,"61","68","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-29","0.00",,,"65","75","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-09-30","0.00",,,"66","76","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-01","0.00",,,"67","78","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-02","0.00",,,"70","81","65"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-03","0.00",,,"70","78","64"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-04","0.00",,,"67","72","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-05","0.00",,,"63","73","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-06","0.00",,,"64","74","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-07","0.00",,,"71","86","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-08","0.00",,,"71","86","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-09","0.00",,,"66","76","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-10","0.00",,,"62","71","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-11","0.00",,,"61","72","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-12","0.00",,,"64","80","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-10-13","0.00",,,"65","75","54"
